timestamp,owner,model_name,feature_description,accuracy,precision_macro,recall_macro,f1_macro,parameters,f1_per_class,notes
2026-05-25 09:34:11,,Majority Class Baseline,N/A,0.6475,0.2158,0.3333,0.2620,majority_class=2 (Neutral),"{'Bearish': 0.0, 'Bullish': 0.0, 'Neutral': 0.7860095389507155}",
2026-05-25 09:34:24,,Logistic Regression Baseline,"TF-IDF (1,1)",0.7685,0.6910,0.7015,0.6955,"ngram_range=(1, 1), min_df=1, max_features=None","{'Bearish': 0.5751633986928104, 'Bullish': 0.6613965744400527, 'Neutral': 0.85002043318349}",
2026-05-25 09:34:25,,Logistic Regression Baseline,"TF-IDF (1,2)",0.7800,0.7019,0.7057,0.7038,"ngram_range=(1, 2), min_df=1, max_features=None","{'Bearish': 0.5862068965517241, 'Bullish': 0.6623711340206185, 'Neutral': 0.8627132412672623}",
2026-05-25 09:34:26,,Logistic Regression Baseline,"TF-IDF (1,2) Optimized",0.7795,0.7021,0.7175,0.7091,"ngram_range=(1, 2), min_df=2, max_features=25000","{'Bearish': 0.5980392156862745, 'Bullish': 0.669260700389105, 'Neutral': 0.859958932238193}",
2026-05-25 09:34:27,,KNN Baseline,"TF-IDF (1,2) Optimized",0.6888,0.7305,0.4212,0.4247,n_neighbors=3,"{'Bearish': 0.21114369501466276, 'Bullish': 0.2549450549450549, 'Neutral': 0.8080741230972865}",
2026-05-25 09:34:28,,KNN Baseline,"TF-IDF (1,2) Optimized",0.6695,0.8276,0.3759,0.3463,n_neighbors=7,"{'Bearish': 0.09836065573770492, 'Bullish': 0.14388489208633093, 'Neutral': 0.7965116279069767}",
2026-05-25 09:34:34,,KNN Baseline,"TF-IDF (1,2) Optimized",0.6888,0.7305,0.4212,0.4247,"GridSearchCV Best, n_neighbors=3","{'Bearish': 0.21114369501466276, 'Bullish': 0.2549450549450549, 'Neutral': 0.8080741230972865}",
2026-05-25 09:34:37,,Logistic Regression Baseline,"TF-IDF (1,2) Optimized",0.7454,0.6611,0.6941,0.6745,"penalty=l1, solver=saga, C=1.0, class_weight=balanced","{'Bearish': 0.539291217257319, 'Bullish': 0.65, 'Neutral': 0.8341072182355425}",
2026-05-25 09:34:37,,Logistic Regression Baseline,"TF-IDF (1,2) Optimized",0.7795,0.7021,0.7175,0.7091,"penalty=l2, solver=lbfgs, C=1.0, class_weight=balanced","{'Bearish': 0.5980392156862745, 'Bullish': 0.669260700389105, 'Neutral': 0.859958932238193}",
2026-05-25 09:34:37,,Multinomial NB Baseline,"TF-IDF (1,2) Optimized",0.7339,0.7944,0.5000,0.5316,alpha=1.0,"{'Bearish': 0.26392961876832843, 'Bullish': 0.4972972972972973, 'Neutral': 0.8336755646817249}",
